Alias_Desc,Key_words_alias,URL_icon_internet
C&A,C&A; C & A Mode GmbH & Co.,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/C%26A_Logo.svg/330px-C%26A_Logo.svg.png
Decathlon,DECATHLON,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Decathlon_Logo.svg/330px-Decathlon_Logo.svg.png
About You,ABOUT YOU;,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/About_You_Logo.svg/330px-About_You_Logo.svg.png
Zara,Zara,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Zara_Logo.svg/330px-Zara_Logo.svg.png
Deichmann,Deichmann,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Deichmann_logo.svg/960px-Deichmann_logo.svg.png
Amazon,AMAZON; AMZN; AMZ*;,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Amazon_logo.svg/330px-Amazon_logo.svg.png
Lidl,Lidl,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Lidl-Logo.svg/330px-Lidl-Logo.svg.png
Rewe,REWE,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Logo_REWE.svg/960px-Logo_REWE.svg.png
Aldi,ALDI,https://1000logos.net/wp-content/uploads/2017/12/Aldi-Logo-1982.png
Edeka,EDEKA,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Edeka_Logo_Aktuell.svg/330px-Edeka_Logo_Aktuell.svg.png
Netto,NETTO,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Netto_Marken-Discount_2018_logo.svg/250px-Netto_Marken-Discount_2018_logo.svg.png
Ihle,Ihle,https://neo-koenigsbrunn.de/wp-content/uploads/2024/03/IHLE_Aussenlogo_2021_quer_Fleache_pos_4C.png
Wünsche,WUENSCHE,https://scontent-muc2-1.xx.fbcdn.net/v/t39.30808-1/305963108_455942006560089_3919871944130796939_n.jpg?stp=dst-jpg_s480x480_tt6&_nc_cat=106&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=M0I4E5j8TS0Q7kNvwGegXxy&_nc_oc=Adkv2yS721H5M-9i0OU0eVbvXXVYOC481DT6vpWW4amnWL5TN6An2k6aYvCqzOnHpM4hUNWO9IG3jzIWkmszNfcW&_nc_zt=24&_nc_ht=scontent-muc2-1.xx&_nc_gid=bI4T5wyIBsaOEq33OwlTSg&oh=00_Afr0sdH8DkV4p53q_AlZ5ZJfD_gpWSH2clpP8E7DjYXkWg&oe=695C73A9
Claude AI,Claude,https://uxwing.com/wp-content/themes/uxwing/download/brands-and-social-media/claude-ai-icon.png
Temu,Temu,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Temu_logo.svg/250px-Temu_logo.svg.png
PayPal,PayPal,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/PayPal_logo.svg/330px-PayPal_logo.svg.png
Tedi,TEDI,https://media.tourdata.at/file/original/0e6fb4dd357de7f20c2be4e32d6664f4.png
DM,DM,https://upload.wikimedia.org/wikipedia/commons/5/50/Dm_Logo.svg
Rossmann,Rossmann,https://k3-heilbronn.de/wp-content/uploads/2022/05/logo_1_rossmann.png
Müller,Müller,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Logo_Drogerie_Mueller.svg/320px-Logo_Drogerie_Mueller.svg.png
Apple,Apple iCloud/App Store,https://logo.com/image-cdn/images/kts928pd/production/4429bc095f6ddb190c0457f215d2d625959aae87-1600x900.png?w=1920&q=72&fm=webp
Google,Google One,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Google_%22G%22_logo.svg/1200px-Google_%22G%22_logo.svg.png
Netflix,Netflix,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Netflix_2015_logo.svg/330px-Netflix_2015_logo.svg.png
Disney+,Disney,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Disney%2B_logo.svg/330px-Disney%2B_logo.svg.png
YouTube,YouTube Premium,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/YouTube_Logo_2017.svg/330px-YouTube_Logo_2017.svg.png
ChatGPT,ChatGPT,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/OpenAI_Logo.svg/330px-OpenAI_Logo.svg.png
Paramount+,PARAMOUNT,
Active Campaign,ACTIVECAMP,https://portermetrics.com/wp-content/uploads/2023/07/Logo-Active-Campaign.png
Blau Handy,Kd-Nr.: 6074738889,https://assets.tariffuxx.de/media/blau.png
Futalis,www.futalis.de,
Fressnapf,Fressnapf,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Fressnapf_Logo_2023.svg/330px-Fressnapf_Logo_2023.svg.png
