App classificação,Nivel_1_PT,Nivel_2_PT,Nivel_3_PT,Key_words,Key_words_negative,Receita/Despesa,Fixo/Variável,Recorrente
Alimentação,Alimentação,Bebidas,Bebidas,,,Despesa,Variável,Não
Alimentação,Alimentação,Padaria/Café,Padaria/Café,Backstube; baeckerei; Ihle; *Baeckerei Wuen; Rischarts Backhau; UZR*Backzeit AKD GmbH; Backzeit; UZR*Backzeit AKD GmbH; Backzeit; UZR*Backzeit AKD GmbH; Backzeit; UZR*Backzeit AKD GmbH; Backzeit; UZR*Backzeit AKD GmbH; Backzeit; UZR*Backzeit AKD GmbH; Backzeit; UZR*Backzeit AKD GmbH; Backzeit; UZR*Backzeit AKD GmbH; Backzeit; WUENSCHE BERGKIRCHEN,,Despesa,Variável,Não
Alimentação,Alimentação,Restaurantes,Restaurante,McDonalds; Pablo Emilio Burger; PIZZA HUT; Ristorante Da Umberto; Eiscafe Dolomiti; Belmondo; Hans im Tal; HEINRITZI GMBH & CO.; BOTECO BRAZILIAN RESTAU NUERNBERG; ABACCOS STEAKHOUSE; DING TEA MUENCHEN; I LOVE LEO GMBH&CO; Weintreff Zom Hasatanz; RESTAURANT; KatNi Asia,,Despesa,Variável,Não
Mercados,Alimentação,Supermercado,ALDI,ALDI,,Despesa,Variável,Não
Mercados,Alimentação,Supermercado,EDEKA,EDEKA,,Despesa,Variável,Não
Mercados,Alimentação,Supermercado,LIDL,LIDL,,Despesa,Variável,Não
Mercados,Alimentação,Supermercado,NETTO,NETTO,,Despesa,Variável,Não
Mercados,Alimentação,Supermercado,Outros mercados,MADE IN PORTUGAL//MUENCHEN/DE; Norma; Asia Markt,,Despesa,Variável,Não
Mercados,Alimentação,Supermercado,REWE,REWE,,Despesa,Variável,Não
Alimentação,Alimentação,Trabalho,Almoço Bosch,FRUCHTWERK E.K.,,Despesa,Variável,Não
Renda Extra,Assinaturas,AI,ChatGPT,OPENAI *CHATGPT SUBSCR,,Despesa,Variável,Sim
Renda Extra,Assinaturas,AI,Claude.ai,Claude,,Despesa,Variável,Sim
Renda Extra,Assinaturas,AI,ElevenLabs,ElevenLabs,,Despesa,Variável,Sim
Renda Extra,Assinaturas,AI,Replit,Replit,,Despesa,Variável,Sim
Outros,Assinaturas,Apple,Apple iCloud/App Store,APPLE.COM/BILL,,Despesa,Variável,Sim
Lazer / Esporte,Assinaturas,Audio livro,Audiable,AUDIBLE GMBH,,Despesa,Variável,Sim
Outros,Assinaturas,Google,Google One,GOOGLE*GOOGLE ONE -- -9.99; GOOGLE*GOOGLE ONE ; GOOGLE*GOOGLE ONE,,Despesa,Variável,Sim
Renda Extra,Assinaturas,MKT digital,Active Campaign,EBN *ACTIVECAMP -- -9.92; ACTIVECAMP,,Despesa,Fixo,Sim
Lazer / Esporte,Assinaturas,Streaming,Disney+,Disney,,Despesa,Variável,Sim
Lazer / Esporte,Assinaturas,Streaming,Netflix,NETFLIX,,Despesa,Variável,Sim
Lazer / Esporte,Assinaturas,Streaming,Paramount Plus,PARAMOUNT+,,Despesa,Variável,Sim
Lazer / Esporte,Assinaturas,Streaming,YouTube Premium,,,Despesa,Variável,Sim
Compras,Compras,Casa,Decoração,JYSK SE,,Despesa,Variável,Não
Compras,Compras,Casa,Eletrodomésticos,Saturn; Mediamarkt,,Despesa,Variável,Não
Compras,Compras,Casa,Móveis,ikea; MOEMAX,,Despesa,Variável,Não
Compras,Compras,Casa,TEDI,TEDI,,Despesa,Variável,Não
Compras,Compras,Higiene,DM,DM Drogerie; DM-DROGERIE MARKT,,Despesa,Variável,Não
Compras,Compras,Higiene,Müller,MUELLER MH HANDELS GMB; MUeLLER OLCHING 1-1 E; MUELLER 1500,,Despesa,Variável,Não
Compras,Compras,Higiene,Rossmann,rossmann,,Despesa,Variável,Não
Compras,Compras,Online,Amazon,AMAZON; AMZN; AMZ*;,,Despesa,Variável,Não
Compras,Compras,Online,PayPal compras,,,Despesa,Variável,Não
Compras,Compras,Online,Temu,TEMU.COM DUBLIN 2; TEMU.COM,,Despesa,Variável,Não
Compras,Compras,Presentes,Geral,,,Despesa,Variável,Não
Compras,Compras,Roupas,Roupas geral,ZALANDO; DECATHLON; ABOUT YOU; HM.COM HAMBURG; DEICHMANN SE 1129 GROEBENZELL; Zara; H&M; ABOUT YOU; DECATHLON Deutschland,,Despesa,Variável,Não
Outros,Doações,BOG Mitglied,BOG Mitglied,Mitgliedsbeitrag 2024 f r Erica und Vinicius Steiglede; Bruederlichkeit ohne Grenzen e.V.--Mitgliedsbeitrag 2025; Bruederlichkeit ohne Grenzen e.V. -- Mitgliedsbeitrag; PAYPAL *BRUEDERLICH 4029357733,,Despesa,Variável,Sim
Outros,Educação,Escola,Gymnasium Olching,Gymnasium Olching,,Despesa,Variável,Não
Outros,Educação,Kindergeld,Kindergeld,Arbeit - Familien kasse; Bundesagentur,,Receita,Fixo,Sim
Outros,Educação,Livros,Livros,DANKE DER BUCHLADEN,,Despesa,Variável,Não
Outros,Educação,Online,Online Schülerhilfe,SCHULHILFEV,,Despesa,Variável,Sim
Lazer / Esporte,Esportes,Clubes,Floorball - ...,,,Despesa,Fixo,Sim
Lazer / Esporte,Esportes,Clubes,Natação,SV Fuerstenfeldbrucker Wasserratten e.V.; Schwimmverein,,Despesa,Fixo,Sim
Lazer / Esporte,Esportes,Clubes,Tennis Verein,Tennisclub Edelweiss Groebenzell e.V.,,Despesa,Variável,Sim
Lazer / Esporte,Esportes,Esportes,BJJ,BJJ Ausbildung Dachau; BJJ EVENT,,Despesa,Variável,Sim
Lazer / Esporte,Esportes,Esportes,CleverFit Fitness,OLC--0157-0000631 OLC-2637639; OLC-2637639; OLC--0157-0000373 OLC-2428106 RED LABEL; OLC-2428106 RED LABEL; OLC--0156-0000276 OLC-2637461 RED LABEL; OLC-2637461 RED LABEL,,Despesa,Fixo,Sim
